Location,Date,Sentiments
uttar pradesh,2020-03-20,0
rajasthan,2020-03-20,0
karnataka,2020-03-20,1
uttar pradesh,2020-03-20,0
uttar pradesh,2020-03-20,1
tamil nadu,2020-03-20,1
gujarat,2020-03-20,0
uttar pradesh,2020-03-20,0
gujarat,2020-03-20,-1
gujarat,2020-03-20,0
jharkhand,2020-03-20,1
uttar pradesh,2020-03-20,0
uttar pradesh,2020-03-20,0
uttar pradesh,2020-03-20,0
assam,2020-03-20,0
karnataka,2020-03-20,0
assam,2020-03-20,1
madhya pradesh,2020-03-20,0
himachal pradesh,2020-03-20,0
tamil nadu,2020-03-20,0
chandigarh,2020-03-20,-1
goa,2020-03-20,1
maharashtra,2020-03-20,0
uttar pradesh,2020-03-20,1
chandigarh,2020-03-20,-1
tamil nadu,2020-03-20,-1
punjab,2020-03-20,-1
delhi,2020-03-20,1
delhi,2020-03-20,-1
uttar pradesh,2020-03-20,-1
uttar pradesh,2020-03-20,-1
bihar,2020-03-20,1
west bengal,2020-03-20,0
himachal pradesh,2020-03-20,1
rajasthan,2020-03-20,0
delhi,2020-03-20,1
rajasthan,2020-03-20,-1
maharashtra,2020-03-20,0
madhya pradesh,2020-03-20,1
karnataka,2020-03-20,0
maharashtra,2020-03-20,0
chhattisgarh,2020-03-20,1
gujarat,2020-03-20,0
goa,2020-03-20,-1
gujarat,2020-03-20,0
madhya pradesh,2020-03-20,1
tamil nadu,2020-03-20,1
chandigarh,2020-03-20,0
west bengal,2020-03-20,-1
chandigarh,2020-03-20,1
tamil nadu,2020-03-20,1
chandigarh,2020-03-20,-1
karnataka,2020-03-20,-1
chhattisgarh,2020-03-20,1
jammu and kashmir,2020-03-20,1
kerala,2020-03-20,0
tamil nadu,2020-03-20,0
maharashtra,2020-03-20,0
uttarakhand,2020-03-20,1
gujarat,2020-03-20,1
uttar pradesh,2020-03-20,1
delhi,2020-03-20,1
uttarakhand,2020-03-20,-1
uttar pradesh,2020-03-20,1
haryana,2020-03-20,0
uttar pradesh,2020-03-20,0
rajasthan,2020-03-20,0
tamil nadu,2020-03-20,0
bihar,2020-03-20,-1
tamil nadu,2020-03-20,1
assam,2020-03-20,1
chandigarh,2020-03-20,0
chhattisgarh,2020-03-20,1
gujarat,2020-03-20,0
tamil nadu,2020-03-20,1
uttar pradesh,2020-03-20,0
uttar pradesh,2020-03-20,-1
chandigarh,2020-03-20,-1
delhi,2020-03-20,-1
uttar pradesh,2020-03-20,0
maharashtra,2020-03-20,1
goa,2020-03-20,0
goa,2020-03-20,1
gujarat,2020-03-20,1
karnataka,2020-03-20,-1
bihar,2020-03-20,1
gujarat,2020-03-20,0
bihar,2020-03-20,1
bihar,2020-03-20,1
tamil nadu,2020-03-20,-1
haryana,2020-03-20,1
bihar,2020-03-20,1
bihar,2020-03-20,0
maharashtra,2020-03-20,1
haryana,2020-03-20,-1
gujarat,2020-03-20,-1
goa,2020-03-20,1
andhra pradesh,2020-03-20,0
uttarakhand,2020-03-20,0
delhi,2020-03-20,-1
tamil nadu,2020-03-20,1
maharashtra,2020-03-20,0
maharashtra,2020-03-20,0
jammu and kashmir,2020-03-20,0
maharashtra,2020-03-20,0
bihar,2020-03-20,1
bihar,2020-03-20,1
west bengal,2020-03-20,1
delhi,2020-03-20,1
chandigarh,2020-03-20,1
delhi,2020-03-20,-1
maharashtra,2020-03-20,-1
kerala,2020-03-20,-1
jharkhand,2020-03-20,1
chandigarh,2020-03-20,1
uttar pradesh,2020-03-20,1
karnataka,2020-03-20,1
delhi,2020-03-20,0
delhi,2020-03-20,0
gujarat,2020-03-20,0
uttar pradesh,2020-03-20,1
goa,2020-03-20,1
rajasthan,2020-03-20,1
tamil nadu,2020-03-20,1
delhi,2020-03-20,1
tamil nadu,2020-03-20,0
delhi,2020-03-20,1
haryana,2020-03-20,1
haryana,2020-03-20,-1
bihar,2020-03-20,0
haryana,2020-03-20,0
delhi,2020-03-20,0
haryana,2020-03-20,1
maharashtra,2020-03-20,0
maharashtra,2020-03-20,0
bihar,2020-03-20,1
tamil nadu,2020-03-20,-1
gujarat,2020-03-20,1
gujarat,2020-03-20,1
punjab,2020-03-20,1
delhi,2020-03-20,0
delhi,2020-03-20,1
delhi,2020-03-20,1
himachal pradesh,2020-03-20,1
assam,2020-03-20,1
punjab,2020-03-20,1
maharashtra,2020-03-20,1
delhi,2020-03-20,-1
delhi,2020-03-20,0
uttar pradesh,2020-03-20,1
delhi,2020-03-20,1
gujarat,2020-03-20,-1
uttar pradesh,2020-03-20,-1
gujarat,2020-03-20,1
karnataka,2020-03-20,-1
tamil nadu,2020-03-20,-1
karnataka,2020-03-20,1
uttarakhand,2020-03-20,1
gujarat,2020-03-20,0
delhi,2020-03-20,1
maharashtra,2020-03-20,1
assam,2020-03-20,0
maharashtra,2020-03-20,1
chhattisgarh,2020-03-20,-1
rajasthan,2020-03-20,1
delhi,2020-03-20,-1
chandigarh,2020-03-20,1
uttarakhand,2020-03-20,1
karnataka,2020-03-20,0
assam,2020-03-20,0
tamil nadu,2020-03-20,-1
uttar pradesh,2020-03-20,1
rajasthan,2020-03-20,0
assam,2020-03-20,1
delhi,2020-03-20,1
maharashtra,2020-03-20,0
gujarat,2020-03-20,0
delhi,2020-03-20,0
delhi,2020-03-20,0
haryana,2020-03-20,0
chandigarh,2020-03-20,-1
delhi,2020-03-20,-1
kerala,2020-03-20,0
delhi,2020-03-20,1
delhi,2020-03-20,1
chhattisgarh,2020-03-20,1
delhi,2020-03-20,-1
rajasthan,2020-03-20,0
rajasthan,2020-03-20,0
rajasthan,2020-03-20,1
goa,2020-03-20,0
delhi,2020-03-20,0
rajasthan,2020-03-20,0
chandigarh,2020-03-20,1
delhi,2020-03-20,1
chhattisgarh,2020-03-20,1
gujarat,2020-03-20,-1
west bengal,2020-03-20,0
delhi,2020-03-20,1
delhi,2020-03-20,1
jharkhand,2020-03-20,-1
chandigarh,2020-03-20,1
goa,2020-03-20,-1
andhra pradesh,2020-03-20,0
punjab,2020-03-20,0
bihar,2020-03-20,0
jharkhand,2020-03-20,1
west bengal,2020-03-20,0
haryana,2020-03-20,0
rajasthan,2020-03-20,1
goa,2020-03-20,-1
uttarakhand,2020-03-20,1
chandigarh,2020-03-20,1
uttarakhand,2020-03-20,1
west bengal,2020-03-20,1
assam,2020-03-20,-1
maharashtra,2020-03-20,1
west bengal,2020-03-20,0
maharashtra,2020-03-20,0
bihar,2020-03-20,0
delhi,2020-03-20,1
rajasthan,2020-03-20,1
chandigarh,2020-03-20,-1
west bengal,2020-03-20,1
nagaland,2020-03-20,0
gujarat,2020-03-20,1
uttar pradesh,2020-03-20,-1
gujarat,2020-03-20,1
delhi,2020-03-20,0
chandigarh,2020-03-20,1
kerala,2020-03-20,-1
delhi,2020-03-20,1
haryana,2020-03-20,0
odisha,2020-03-20,0
tamil nadu,2020-03-20,1
haryana,2020-03-20,1
maharashtra,2020-03-20,0
odisha,2020-03-20,-1
delhi,2020-03-20,1
chandigarh,2020-03-20,0
maharashtra,2020-03-20,1
west bengal,2020-03-20,-1
uttar pradesh,2020-03-20,-1
gujarat,2020-03-20,1
delhi,2020-03-20,-1
chandigarh,2020-03-20,1
chandigarh,2020-03-20,0
gujarat,2020-03-20,0
maharashtra,2020-03-20,0
west bengal,2020-03-20,-1
delhi,2020-03-20,-1
tamil nadu,2020-03-20,-1
rajasthan,2020-03-20,1
delhi,2020-03-20,0
maharashtra,2020-03-20,-1
rajasthan,2020-03-20,1
west bengal,2020-03-20,1
maharashtra,2020-03-20,-1
tamil nadu,2020-03-20,1
chandigarh,2020-03-20,1
uttar pradesh,2020-03-20,-1
maharashtra,2020-03-20,0
uttar pradesh,2020-03-20,0
chandigarh,2020-03-20,1
gujarat,2020-03-20,0
tamil nadu,2020-03-20,1
uttarakhand,2020-03-20,1
uttar pradesh,2020-03-20,1
maharashtra,2020-03-20,0
uttar pradesh,2020-03-20,1
gujarat,2020-03-20,0
delhi,2020-03-20,1
tamil nadu,2020-03-20,0
delhi,2020-03-20,-1
gujarat,2020-03-20,-1
himachal pradesh,2020-03-20,-1
tamil nadu,2020-03-20,1
uttarakhand,2020-03-20,0
tamil nadu,2020-03-20,1
tamil nadu,2020-03-20,1
goa,2020-03-20,0
maharashtra,2020-03-20,0
west bengal,2020-03-20,-1
maharashtra,2020-03-20,1
chandigarh,2020-03-20,0
madhya pradesh,2020-03-20,1
madhya pradesh,2020-03-20,0
tamil nadu,2020-03-20,1
bihar,2020-03-20,0
maharashtra,2020-03-20,1
maharashtra,2020-03-20,0
delhi,2020-03-20,0
delhi,2020-03-20,0
delhi,2020-03-20,1
delhi,2020-03-20,1
madhya pradesh,2020-03-20,0
tamil nadu,2020-03-20,1
rajasthan,2020-03-20,1
karnataka,2020-03-20,0
tamil nadu,2020-03-20,-1
delhi,2020-03-20,1
chandigarh,2020-03-20,0
delhi,2020-03-20,-1
maharashtra,2020-03-20,0
chandigarh,2020-03-20,-1
uttar pradesh,2020-03-20,1
delhi,2020-03-20,1
delhi,2020-03-20,1
kerala,2020-03-20,-1
maharashtra,2020-03-20,1
uttar pradesh,2020-03-20,0
delhi,2020-03-20,1
karnataka,2020-03-20,0
uttar pradesh,2020-03-20,-1
karnataka,2020-03-20,-1
maharashtra,2020-03-20,1
maharashtra,2020-03-20,1
delhi,2020-03-20,0
karnataka,2020-03-20,-1
karnataka,2020-03-20,0
rajasthan,2020-03-20,1
maharashtra,2020-03-20,1
delhi,2020-03-20,-1
gujarat,2020-03-20,-1
haryana,2020-03-20,0
maharashtra,2020-03-20,1
rajasthan,2020-03-20,0
delhi,2020-03-20,0
chhattisgarh,2020-03-20,-1
gujarat,2020-03-20,1
goa,2020-03-20,0
goa,2020-03-20,0
goa,2020-03-20,1
uttar pradesh,2020-03-20,0
gujarat,2020-03-20,0
gujarat,2020-03-20,1
goa,2020-03-20,0
gujarat,2020-03-20,1
karnataka,2020-03-20,1
uttar pradesh,2020-03-20,1
chandigarh,2020-03-20,-1
delhi,2020-03-20,1
karnataka,2020-03-20,-1
delhi,2020-03-20,0
maharashtra,2020-03-20,-1
rajasthan,2020-03-20,0
haryana,2020-03-20,1
jammu and kashmir,2020-03-20,0
karnataka,2020-03-20,1
maharashtra,2020-03-20,0
himachal pradesh,2020-03-20,1
goa,2020-03-20,1
tamil nadu,2020-03-20,0
uttar pradesh,2020-03-20,0
uttar pradesh,2020-03-20,1
gujarat,2020-03-20,1
gujarat,2020-03-20,0
delhi,2020-03-20,-1
chandigarh,2020-03-20,0
gujarat,2020-03-20,0
uttar pradesh,2020-03-20,-1
maharashtra,2020-03-20,1
tamil nadu,2020-03-20,0
punjab,2020-03-20,1
gujarat,2020-03-20,1
bihar,2020-03-20,-1
madhya pradesh,2020-03-20,-1
rajasthan,2020-03-20,0
delhi,2020-03-20,0
maharashtra,2020-03-20,0
uttar pradesh,2020-03-20,-1
kerala,2020-03-20,0
gujarat,2020-03-20,-1
west bengal,2020-03-20,1
delhi,2020-03-20,1
karnataka,2020-03-20,0
uttar pradesh,2020-03-20,1
gujarat,2020-03-20,0
rajasthan,2020-03-20,1
uttar pradesh,2020-03-20,1
chhattisgarh,2020-03-20,0
gujarat,2020-03-20,1
uttar pradesh,2020-03-20,1
haryana,2020-03-20,0
madhya pradesh,2020-03-20,0
delhi,2020-03-20,-1
tamil nadu,2020-03-20,0
odisha,2020-03-20,-1
nagaland,2020-03-20,1
maharashtra,2020-03-20,-1
uttar pradesh,2020-03-20,1
chandigarh,2020-03-20,1
maharashtra,2020-03-20,-1
karnataka,2020-03-20,0
delhi,2020-03-20,1
uttar pradesh,2020-03-20,-1
gujarat,2020-03-20,1
goa,2020-03-20,-1
bihar,2020-03-20,0
karnataka,2020-03-20,1
tamil nadu,2020-03-20,0
punjab,2020-03-20,1
odisha,2020-03-20,0
uttar pradesh,2020-03-20,0
chandigarh,2020-03-20,1
odisha,2020-03-20,0
rajasthan,2020-03-20,0
uttarakhand,2020-03-20,0
tamil nadu,2020-03-20,0
kerala,2020-03-20,-1
odisha,2020-03-20,0
tamil nadu,2020-03-20,1
kerala,2020-03-20,-1
chandigarh,2020-03-20,1
maharashtra,2020-03-20,-1
madhya pradesh,2020-03-20,1
delhi,2020-03-21,0
west bengal,2020-03-21,0
delhi,2020-03-21,-1
assam,2020-03-21,0
kerala,2020-03-21,-1
gujarat,2020-03-21,1
madhya pradesh,2020-03-21,0
bihar,2020-03-21,0
delhi,2020-03-21,1
andhra pradesh,2020-03-21,0
delhi,2020-03-21,0
andhra pradesh,2020-03-21,0
madhya pradesh,2020-03-21,0
karnataka,2020-03-21,1
delhi,2020-03-21,1
uttarakhand,2020-03-21,0
uttar pradesh,2020-03-21,0
bihar,2020-03-21,0
west bengal,2020-03-21,1
tamil nadu,2020-03-21,1
kerala,2020-03-21,1
bihar,2020-03-21,-1
chandigarh,2020-03-21,-1
delhi,2020-03-21,1
gujarat,2020-03-21,1
uttar pradesh,2020-03-21,-1
maharashtra,2020-03-21,0
uttar pradesh,2020-03-21,0
odisha,2020-03-21,-1
gujarat,2020-03-21,-1
himachal pradesh,2020-03-21,-1
punjab,2020-03-21,1
madhya pradesh,2020-03-21,0
bihar,2020-03-21,1
chhattisgarh,2020-03-21,-1
chandigarh,2020-03-21,-1
haryana,2020-03-21,0
andhra pradesh,2020-03-21,-1
chandigarh,2020-03-21,-1
delhi,2020-03-21,0
uttar pradesh,2020-03-21,-1
delhi,2020-03-21,1
punjab,2020-03-21,1
punjab,2020-03-21,1
delhi,2020-03-21,1
madhya pradesh,2020-03-21,1
gujarat,2020-03-21,-1
delhi,2020-03-21,1
chandigarh,2020-03-21,1
delhi,2020-03-21,1
rajasthan,2020-03-21,0
andhra pradesh,2020-03-21,1
goa,2020-03-21,1
kerala,2020-03-21,1
uttar pradesh,2020-03-21,0
delhi,2020-03-21,0
maharashtra,2020-03-21,1
punjab,2020-03-21,1
uttar pradesh,2020-03-21,1
bihar,2020-03-21,0
bihar,2020-03-21,0
goa,2020-03-21,0
assam,2020-03-21,1
bihar,2020-03-21,-1
goa,2020-03-21,1
bihar,2020-03-21,-1
tamil nadu,2020-03-21,-1
haryana,2020-03-21,1
haryana,2020-03-21,0
punjab,2020-03-21,0
maharashtra,2020-03-21,0
delhi,2020-03-21,-1
uttar pradesh,2020-03-21,0
gujarat,2020-03-21,0
maharashtra,2020-03-21,0
gujarat,2020-03-21,-1
uttar pradesh,2020-03-21,1
delhi,2020-03-21,0
haryana,2020-03-21,1
gujarat,2020-03-21,1
delhi,2020-03-21,0
west bengal,2020-03-21,0
goa,2020-03-21,-1
goa,2020-03-21,0
maharashtra,2020-03-21,0
uttar pradesh,2020-03-21,-1
maharashtra,2020-03-21,0
delhi,2020-03-21,-1
tamil nadu,2020-03-21,0
delhi,2020-03-21,0
delhi,2020-03-21,0
delhi,2020-03-21,0
haryana,2020-03-21,0
haryana,2020-03-21,0
delhi,2020-03-21,1
chandigarh,2020-03-21,0
chandigarh,2020-03-21,1
delhi,2020-03-21,0
maharashtra,2020-03-21,-1
uttar pradesh,2020-03-21,0
jharkhand,2020-03-21,1
haryana,2020-03-21,-1
madhya pradesh,2020-03-21,0
bihar,2020-03-21,0
maharashtra,2020-03-21,-1
delhi,2020-03-21,1
delhi,2020-03-21,1
gujarat,2020-03-21,-1
delhi,2020-03-21,1
andhra pradesh,2020-03-21,1
delhi,2020-03-21,1
uttar pradesh,2020-03-21,1
delhi,2020-03-21,1
maharashtra,2020-03-21,1
west bengal,2020-03-21,-1
chandigarh,2020-03-21,-1
delhi,2020-03-21,1
delhi,2020-03-21,1
delhi,2020-03-21,0
kerala,2020-03-21,0
bihar,2020-03-21,1
jammu and kashmir,2020-03-21,-1
andhra pradesh,2020-03-21,1
bihar,2020-03-21,1
delhi,2020-03-21,0
himachal pradesh,2020-03-21,-1
delhi,2020-03-21,1
madhya pradesh,2020-03-21,0
uttar pradesh,2020-03-21,-1
madhya pradesh,2020-03-21,-1
delhi,2020-03-21,0
delhi,2020-03-21,1
bihar,2020-03-21,1
bihar,2020-03-21,1
bihar,2020-03-21,1
bihar,2020-03-21,1
goa,2020-03-21,0
punjab,2020-03-21,-1
karnataka,2020-03-21,-1
delhi,2020-03-21,1
goa,2020-03-21,0
karnataka,2020-03-21,1
delhi,2020-03-21,1
punjab,2020-03-21,0
madhya pradesh,2020-03-21,1
goa,2020-03-21,1
delhi,2020-03-21,0
karnataka,2020-03-21,0
delhi,2020-03-21,1
maharashtra,2020-03-21,1
kerala,2020-03-21,0
delhi,2020-03-21,0
karnataka,2020-03-21,1
delhi,2020-03-21,0
tamil nadu,2020-03-21,0
tamil nadu,2020-03-21,0
uttar pradesh,2020-03-21,1
andhra pradesh,2020-03-21,-1
maharashtra,2020-03-21,0
gujarat,2020-03-21,1
tamil nadu,2020-03-21,1
delhi,2020-03-21,0
madhya pradesh,2020-03-21,0
tamil nadu,2020-03-21,-1
kerala,2020-03-21,0
madhya pradesh,2020-03-21,0
tamil nadu,2020-03-21,0
gujarat,2020-03-21,-1
chandigarh,2020-03-21,1
sikkim,2020-03-21,-1
gujarat,2020-03-21,1
andhra pradesh,2020-03-21,1
madhya pradesh,2020-03-21,1
maharashtra,2020-03-21,-1
kerala,2020-03-21,-1
himachal pradesh,2020-03-21,0
west bengal,2020-03-21,-1
bihar,2020-03-21,0
bihar,2020-03-21,1
gujarat,2020-03-21,0
kerala,2020-03-21,0
punjab,2020-03-21,0
kerala,2020-03-21,1
gujarat,2020-03-21,0
chandigarh,2020-03-21,0
punjab,2020-03-21,0
haryana,2020-03-21,1
west bengal,2020-03-21,-1
delhi,2020-03-21,0
punjab,2020-03-21,0
maharashtra,2020-03-21,0
rajasthan,2020-03-21,-1
uttar pradesh,2020-03-21,-1
delhi,2020-03-21,0
gujarat,2020-03-21,0
andhra pradesh,2020-03-21,-1
chandigarh,2020-03-21,1
chandigarh,2020-03-21,0
maharashtra,2020-03-21,-1
tamil nadu,2020-03-21,0
haryana,2020-03-21,-1
dadra and nagar haveli,2020-03-21,1
gujarat,2020-03-21,0
goa,2020-03-21,-1
delhi,2020-03-21,1
madhya pradesh,2020-03-21,-1
kerala,2020-03-21,0
rajasthan,2020-03-21,1
odisha,2020-03-21,1
karnataka,2020-03-21,-1
west bengal,2020-03-21,-1
gujarat,2020-03-21,1
maharashtra,2020-03-21,1
uttar pradesh,2020-03-21,1
maharashtra,2020-03-21,1
haryana,2020-03-21,0
karnataka,2020-03-21,0
delhi,2020-03-21,1
tamil nadu,2020-03-21,1
delhi,2020-03-21,1
uttar pradesh,2020-03-21,0
maharashtra,2020-03-21,-1
chandigarh,2020-03-21,1
delhi,2020-03-21,-1
haryana,2020-03-21,0
himachal pradesh,2020-03-21,1
chandigarh,2020-03-21,-1
assam,2020-03-21,0
rajasthan,2020-03-21,-1
himachal pradesh,2020-03-21,0
karnataka,2020-03-21,1
madhya pradesh,2020-03-21,0
chandigarh,2020-03-21,1
kerala,2020-03-21,1
chandigarh,2020-03-21,0
chandigarh,2020-03-21,0
uttarakhand,2020-03-21,0
odisha,2020-03-21,0
maharashtra,2020-03-21,0
karnataka,2020-03-21,1
delhi,2020-03-21,1
maharashtra,2020-03-21,-1
delhi,2020-03-21,0
chandigarh,2020-03-21,1
maharashtra,2020-03-21,1
andhra pradesh,2020-03-21,1
uttar pradesh,2020-03-21,0
delhi,2020-03-21,1
assam,2020-03-21,1
delhi,2020-03-21,-1
chandigarh,2020-03-21,-1
gujarat,2020-03-21,0
jharkhand,2020-03-21,-1
haryana,2020-03-21,0
rajasthan,2020-03-21,1
chhattisgarh,2020-03-21,1
delhi,2020-03-21,1
haryana,2020-03-21,0
karnataka,2020-03-21,-1
karnataka,2020-03-21,1
delhi,2020-03-21,-1
bihar,2020-03-21,1
gujarat,2020-03-21,0
chandigarh,2020-03-21,0
gujarat,2020-03-21,0
andhra pradesh,2020-03-21,0
karnataka,2020-03-21,0
haryana,2020-03-21,1
punjab,2020-03-21,-1
chandigarh,2020-03-21,0
haryana,2020-03-21,0
delhi,2020-03-21,0
andhra pradesh,2020-03-21,-1
rajasthan,2020-03-21,0
uttar pradesh,2020-03-21,1
goa,2020-03-21,1
uttar pradesh,2020-03-21,1
andhra pradesh,2020-03-21,1
gujarat,2020-03-21,1
madhya pradesh,2020-03-21,-1
karnataka,2020-03-21,1
chhattisgarh,2020-03-21,1
kerala,2020-03-21,1
karnataka,2020-03-21,-1
chandigarh,2020-03-21,0
andhra pradesh,2020-03-21,1
chhattisgarh,2020-03-21,0
bihar,2020-03-21,-1
himachal pradesh,2020-03-21,1
tamil nadu,2020-03-21,0
uttar pradesh,2020-03-21,0
himachal pradesh,2020-03-21,-1
uttar pradesh,2020-03-21,1
tamil nadu,2020-03-21,1
madhya pradesh,2020-03-21,0
delhi,2020-03-21,1
kerala,2020-03-21,0
gujarat,2020-03-21,0
gujarat,2020-03-21,0
rajasthan,2020-03-21,0
maharashtra,2020-03-21,1
gujarat,2020-03-21,1
tamil nadu,2020-03-21,0
delhi,2020-03-21,1
delhi,2020-03-21,0
jharkhand,2020-03-21,1
chandigarh,2020-03-21,0
gujarat,2020-03-21,1
haryana,2020-03-21,-1
delhi,2020-03-21,-1
andhra pradesh,2020-03-21,0
goa,2020-03-21,1
tamil nadu,2020-03-21,0
tamil nadu,2020-03-21,1
west bengal,2020-03-21,0
karnataka,2020-03-21,0
tamil nadu,2020-03-21,-1
madhya pradesh,2020-03-21,1
chandigarh,2020-03-21,-1
rajasthan,2020-03-21,0
rajasthan,2020-03-21,0
uttar pradesh,2020-03-21,-1
delhi,2020-03-21,0
maharashtra,2020-03-21,1
west bengal,2020-03-21,0
uttar pradesh,2020-03-21,1
gujarat,2020-03-21,0
tamil nadu,2020-03-21,-1
punjab,2020-03-21,-1
bihar,2020-03-21,0
bihar,2020-03-21,0
delhi,2020-03-21,1
maharashtra,2020-03-21,0
gujarat,2020-03-21,-1
rajasthan,2020-03-21,1
uttar pradesh,2020-03-21,0
rajasthan,2020-03-21,-1
maharashtra,2020-03-21,0
maharashtra,2020-03-21,0
delhi,2020-03-21,1
karnataka,2020-03-21,0
maharashtra,2020-03-21,-1
gujarat,2020-03-21,-1
maharashtra,2020-03-21,1
uttar pradesh,2020-03-21,1
rajasthan,2020-03-21,-1
maharashtra,2020-03-21,-1
maharashtra,2020-03-21,0
kerala,2020-03-21,-1
maharashtra,2020-03-21,-1
punjab,2020-03-21,0
rajasthan,2020-03-21,0
uttar pradesh,2020-03-21,-1
assam,2020-03-21,1
andhra pradesh,2020-03-21,1
delhi,2020-03-21,0
goa,2020-03-21,0
andhra pradesh,2020-03-21,1
maharashtra,2020-03-21,-1
delhi,2020-03-21,0
tamil nadu,2020-03-21,1
gujarat,2020-03-21,-1
andhra pradesh,2020-03-21,1
uttar pradesh,2020-03-21,1
assam,2020-03-21,0
delhi,2020-03-22,1
maharashtra,2020-03-22,1
haryana,2020-03-22,1
bihar,2020-03-22,1
haryana,2020-03-22,1
tamil nadu,2020-03-22,1
delhi,2020-03-22,1
gujarat,2020-03-22,-1
himachal pradesh,2020-03-22,0
uttar pradesh,2020-03-22,1
rajasthan,2020-03-22,-1
haryana,2020-03-22,1
tamil nadu,2020-03-22,0
maharashtra,2020-03-22,-1
tamil nadu,2020-03-22,-1
tamil nadu,2020-03-22,1
tamil nadu,2020-03-22,1
haryana,2020-03-22,0
chandigarh,2020-03-22,0
gujarat,2020-03-22,-1
rajasthan,2020-03-22,1
rajasthan,2020-03-22,-1
tamil nadu,2020-03-22,1
haryana,2020-03-22,0
delhi,2020-03-22,1
rajasthan,2020-03-22,-1
kerala,2020-03-22,0
delhi,2020-03-22,0
tamil nadu,2020-03-22,1
delhi,2020-03-22,1
maharashtra,2020-03-22,0
tamil nadu,2020-03-22,0
tamil nadu,2020-03-22,1
maharashtra,2020-03-22,-1
maharashtra,2020-03-22,-1
tamil nadu,2020-03-22,-1
delhi,2020-03-22,1
uttar pradesh,2020-03-22,0
delhi,2020-03-22,-1
delhi,2020-03-22,-1
karnataka,2020-03-22,0
haryana,2020-03-22,1
chandigarh,2020-03-22,0
himachal pradesh,2020-03-22,1
haryana,2020-03-22,0
uttar pradesh,2020-03-22,0
assam,2020-03-22,0
tamil nadu,2020-03-22,1
haryana,2020-03-22,1
delhi,2020-03-22,1
west bengal,2020-03-22,1
delhi,2020-03-22,1
maharashtra,2020-03-22,0
andhra pradesh,2020-03-22,0
uttar pradesh,2020-03-22,-1
punjab,2020-03-22,0
west bengal,2020-03-22,0
delhi,2020-03-22,0
chhattisgarh,2020-03-22,1
delhi,2020-03-22,0
jharkhand,2020-03-22,1
delhi,2020-03-22,0
delhi,2020-03-22,-1
madhya pradesh,2020-03-22,1
tamil nadu,2020-03-22,0
haryana,2020-03-22,0
maharashtra,2020-03-22,-1
jharkhand,2020-03-22,1
gujarat,2020-03-22,1
madhya pradesh,2020-03-22,0
chhattisgarh,2020-03-22,1
uttar pradesh,2020-03-22,1
tamil nadu,2020-03-22,1
uttar pradesh,2020-03-22,1
west bengal,2020-03-22,-1
maharashtra,2020-03-22,0
delhi,2020-03-22,0
punjab,2020-03-22,1
uttar pradesh,2020-03-22,1
haryana,2020-03-22,1
himachal pradesh,2020-03-22,-1
uttar pradesh,2020-03-22,-1
delhi,2020-03-22,1
tamil nadu,2020-03-22,-1
punjab,2020-03-22,0
gujarat,2020-03-22,0
kerala,2020-03-22,-1
delhi,2020-03-22,1
maharashtra,2020-03-22,0
punjab,2020-03-22,1
madhya pradesh,2020-03-22,1
karnataka,2020-03-22,1
delhi,2020-03-22,1
karnataka,2020-03-22,-1
andhra pradesh,2020-03-22,1
maharashtra,2020-03-22,0
delhi,2020-03-22,0
bihar,2020-03-22,1
madhya pradesh,2020-03-22,1
maharashtra,2020-03-22,0
chhattisgarh,2020-03-22,1
tamil nadu,2020-03-22,-1
uttar pradesh,2020-03-22,1
karnataka,2020-03-22,0
chandigarh,2020-03-22,1
madhya pradesh,2020-03-22,1
delhi,2020-03-22,0
chandigarh,2020-03-22,1
jharkhand,2020-03-22,1
tamil nadu,2020-03-22,1
punjab,2020-03-22,1
rajasthan,2020-03-22,-1
kerala,2020-03-22,0
delhi,2020-03-22,-1
chandigarh,2020-03-22,-1
chandigarh,2020-03-22,1
delhi,2020-03-22,0
gujarat,2020-03-22,1
delhi,2020-03-22,1
delhi,2020-03-22,1
tamil nadu,2020-03-22,1
chandigarh,2020-03-22,1
maharashtra,2020-03-22,1
tamil nadu,2020-03-22,-1
rajasthan,2020-03-22,1
jharkhand,2020-03-22,1
madhya pradesh,2020-03-22,1
punjab,2020-03-22,1
madhya pradesh,2020-03-22,1
chandigarh,2020-03-22,1
tamil nadu,2020-03-22,0
chhattisgarh,2020-03-22,1
chandigarh,2020-03-22,1
madhya pradesh,2020-03-22,1
goa,2020-03-22,0
gujarat,2020-03-22,1
uttar pradesh,2020-03-22,1
punjab,2020-03-22,1
haryana,2020-03-22,0
maharashtra,2020-03-22,-1
madhya pradesh,2020-03-22,1
jharkhand,2020-03-22,1
bihar,2020-03-22,0
delhi,2020-03-22,1
chandigarh,2020-03-22,1
west bengal,2020-03-22,0
madhya pradesh,2020-03-22,0
madhya pradesh,2020-03-22,-1
chandigarh,2020-03-22,1
maharashtra,2020-03-22,0
chandigarh,2020-03-22,1
gujarat,2020-03-22,0
chandigarh,2020-03-22,-1
madhya pradesh,2020-03-22,1
chhattisgarh,2020-03-22,1
goa,2020-03-22,1
chandigarh,2020-03-22,0
tamil nadu,2020-03-22,-1
tamil nadu,2020-03-22,1
delhi,2020-03-22,1
uttar pradesh,2020-03-22,1
himachal pradesh,2020-03-22,1
tamil nadu,2020-03-22,-1
kerala,2020-03-22,1
madhya pradesh,2020-03-22,1
